                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                  1.049,                0.65362,                 1.0203,                0.84333,                0.83072,                 0.8778,                0.60647,                 1.0828,                0.68206,                 1.0714,              0.0011306,              0.0011306,              0.0011306
                     67,                 1.0638,                0.64856,                 1.0279,                 0.8103,                0.83939,                 0.8704,                0.59971,                 1.0925,                0.69233,                 1.0934,              0.0011224,              0.0011224,              0.0011224
                     68,                 1.0294,                0.62686,                 1.0209,                0.84576,                0.83201,                0.88598,                0.61194,                 1.0954,                0.66673,                 1.0762,              0.0011141,              0.0011141,              0.0011141
                     69,                 1.0437,                0.63471,                 1.0298,                0.83427,                0.84633,                0.87422,                0.59674,                 1.1044,                0.69429,                  1.085,              0.0011059,              0.0011059,              0.0011059
                     70,                 1.0539,                0.64209,                  1.018,                0.85461,                0.84967,                0.89183,                0.60464,                 1.1034,                  0.674,                 1.0893,              0.0010976,              0.0010976,              0.0010976
                     71,                 1.0308,                0.63636,                  1.016,                0.85403,                0.84866,                0.88827,                0.61048,                 1.0698,                0.67208,                 1.0735,              0.0010894,              0.0010894,              0.0010894
                     72,                 1.0641,                0.64867,                 1.0166,                0.82619,                 0.8407,                  0.878,                0.59906,                 1.0843,                0.69779,                 1.0915,              0.0010811,              0.0010811,              0.0010811
                     73,                 1.0385,                0.64488,                 1.0168,                0.86379,                0.81669,                0.87881,                0.60537,                 1.0776,                0.68843,                 1.0779,              0.0010729,              0.0010729,              0.0010729
                     74,                 1.0176,                0.62947,                 1.0093,                0.84092,                0.83379,                0.87297,                0.60516,                 1.0871,                0.68662,                 1.0999,              0.0010646,              0.0010646,              0.0010646
                     75,                 1.0583,                0.62988,                 1.0111,                 0.8136,                0.83319,                0.87618,                 0.5968,                 1.1095,                0.69443,                 1.0954,              0.0010564,              0.0010564,              0.0010564
                     76,                 1.0532,                0.62195,                 1.0081,                0.86977,                0.82871,                0.89533,                0.61849,                 1.0865,                0.64596,                 1.0825,              0.0010481,              0.0010481,              0.0010481
                     77,                 1.0313,                0.61198,                 1.0141,                0.81546,                0.84131,                0.87761,                0.60761,                 1.0807,                0.67066,                 1.0818,              0.0010399,              0.0010399,              0.0010399
                     78,                 1.0429,                0.62025,                 1.0152,                 0.8378,                0.85089,                0.87353,                 0.5972,                 1.0875,                0.68408,                 1.0907,              0.0010316,              0.0010316,              0.0010316
                     79,                 1.0162,                0.60811,                 1.0071,                0.85295,                0.83947,                 0.8791,                  0.611,                 1.0841,                0.65643,                 1.0861,              0.0010234,              0.0010234,              0.0010234
                     80,                 1.0241,                0.60896,                 1.0147,                0.83042,                0.84182,                 0.8842,                0.61238,                 1.0855,                0.66074,                 1.0833,              0.0010151,              0.0010151,              0.0010151
                     81,                 1.0245,                0.61368,                 1.0141,                0.86815,                0.82348,                 0.8786,                 0.6009,                 1.0817,                0.66929,                 1.0823,              0.0010069,              0.0010069,              0.0010069
                     82,                 1.0274,                0.60779,                 1.0186,                0.87226,                0.81014,                0.86889,                0.61056,                 1.0776,                0.66337,                 1.0816,             0.00099862,             0.00099862,             0.00099862
                     83,                0.98827,                 0.6033,                 1.0122,                0.83274,                 0.8485,                0.86995,                0.58684,                 1.0912,                0.68236,                  1.094,             0.00099036,             0.00099036,             0.00099036
                     84,                 1.0397,                 0.6014,                 1.0139,                0.87766,                0.80394,                0.88669,                 0.6061,                 1.0879,                0.67998,                 1.0771,             0.00098211,             0.00098211,             0.00098211
                     85,                0.99723,                0.59523,                 1.0033,                0.84551,                 0.8324,                0.88198,                 0.5988,                 1.0899,                0.66334,                 1.0809,             0.00097386,             0.00097386,             0.00097386
                     86,                 1.0341,                 0.6057,                0.99874,                0.85409,                0.82555,                0.88297,                0.61339,                 1.0831,                0.64733,                 1.0865,             0.00096561,             0.00096561,             0.00096561
                     87,                 1.0016,                 0.5983,                 1.0113,                0.87643,                0.82722,                0.89221,                0.60823,                 1.1022,                0.64586,                 1.0925,             0.00095736,             0.00095736,             0.00095736
                     88,                 1.0199,                0.62104,                 1.0074,                0.83131,                0.85585,                0.88722,                0.61266,                 1.0989,                0.65126,                 1.0939,             0.00094911,             0.00094911,             0.00094911
                     89,                 1.0056,                0.59418,                  1.002,                0.86836,                0.84413,                0.90122,                 0.6181,                 1.1003,                0.63594,                 1.0816,             0.00094085,             0.00094085,             0.00094085
                     90,                 1.0045,                0.59337,                 1.0042,                0.84262,                0.85661,                0.89117,                0.60589,                 1.0792,                0.64849,                 1.0768,              0.0009326,              0.0009326,              0.0009326
                     91,                0.96696,                0.57057,                 0.9946,                0.89609,                 0.7973,                0.87907,                 0.6092,                  1.079,                  0.662,                 1.0747,             0.00092435,             0.00092435,             0.00092435
                     92,                  1.001,                0.59318,                  1.006,                0.88561,                  0.816,                 0.9005,                0.61168,                 1.0861,                0.64147,                  1.086,              0.0009161,              0.0009161,              0.0009161
                     93,                0.98473,                0.58121,                0.99579,                0.83827,                0.86015,                0.89553,                0.60464,                 1.0878,                0.64545,                 1.0761,             0.00090785,             0.00090785,             0.00090785
                     94,                0.97765,                0.57475,                0.99378,                0.87897,                0.82242,                0.89509,                0.60921,                 1.1069,                0.64024,                 1.0924,              0.0008996,              0.0008996,              0.0008996
                     95,                 0.9719,                0.58204,                 0.9902,                0.85567,                0.86289,                0.88836,                0.60176,                 1.0925,                0.64342,                  1.092,             0.00089134,             0.00089134,             0.00089134
                     96,                0.98634,                0.59991,                0.99368,                0.85664,                0.83552,                0.88781,                0.60532,                 1.0842,                0.64917,                  1.076,             0.00088309,             0.00088309,             0.00088309
                     97,                0.99921,                0.59421,                 1.0045,                0.88709,                0.79066,                0.88054,                0.60686,                 1.0717,                0.65555,                 1.0799,             0.00087484,             0.00087484,             0.00087484
                     98,                0.96373,                 0.5683,                0.98669,                0.85576,                0.81228,                0.87099,                0.60681,                 1.0797,                 0.6364,                 1.0837,             0.00086659,             0.00086659,             0.00086659
                     99,                0.99949,                0.57955,                0.99577,                0.86089,                0.82236,                0.89312,                0.61397,                 1.0855,                0.63772,                 1.0876,             0.00085834,             0.00085834,             0.00085834
                    100,                0.97639,                0.55988,                0.99085,                0.86728,                0.82404,                0.88409,                0.61325,                 1.0714,                0.64695,                 1.0716,             0.00085009,             0.00085009,             0.00085009
                    101,                0.95707,                0.55945,                0.98554,                0.85067,                0.84358,                0.88751,                0.61763,                 1.0693,                0.63822,                 1.0692,             0.00084184,             0.00084184,             0.00084184
                    102,                0.95742,                0.56239,                0.98716,                0.87012,                 0.8206,                0.88423,                0.60984,                 1.0778,                0.63477,                 1.0781,             0.00083358,             0.00083358,             0.00083358
                    103,                0.95115,                0.55597,                 0.9924,                0.86883,                0.82798,                0.88377,                0.60299,                 1.0798,                0.63636,                 1.0762,             0.00082533,             0.00082533,             0.00082533
                    104,                0.93591,                0.56499,                0.99052,                0.84864,                0.83843,                0.87782,                0.60502,                 1.1004,                0.65563,                 1.0956,             0.00081708,             0.00081708,             0.00081708
                    105,                0.96237,                0.55776,                0.98143,                0.88224,                0.82244,                0.88221,                0.61381,                 1.0845,                0.65278,                 1.0731,             0.00080883,             0.00080883,             0.00080883
                    106,                0.97232,                0.55759,                0.98026,                0.88177,                0.81059,                0.87117,                0.60673,                  1.105,                0.67328,                 1.0911,             0.00080058,             0.00080058,             0.00080058
                    107,                0.95529,                0.55202,                0.98463,                0.88491,                0.83754,                0.89382,                0.62637,                 1.0589,                0.63566,                 1.0726,             0.00079233,             0.00079233,             0.00079233
                    108,                0.96502,                0.56184,                0.98455,                 0.8837,                0.85051,                0.90413,                0.63135,                 1.0618,                 0.6096,                 1.0665,             0.00078407,             0.00078407,             0.00078407
                    109,                0.99491,                0.56424,                0.98814,                0.86029,                0.82881,                0.87809,                0.60325,                 1.0907,                0.64985,                 1.0815,             0.00077582,             0.00077582,             0.00077582
                    110,                0.95239,                0.55549,                0.98243,                0.85886,                0.83459,                0.87069,                0.60294,                  1.076,                0.67167,                 1.0787,             0.00076757,             0.00076757,             0.00076757
                    111,                0.95417,                0.54652,                0.99003,                0.86831,                0.82754,                0.88466,                0.61005,                 1.0646,                0.63651,                 1.0671,             0.00075932,             0.00075932,             0.00075932
                    112,                0.97267,                0.55031,                0.97462,                 0.8697,                0.83219,                0.89083,                0.61378,                 1.0897,                0.63551,                 1.0885,             0.00075107,             0.00075107,             0.00075107
